ClaimID,PolicyID,LossDate,ReportDate,Geography,Industry,PolicySize,RiskRating,IncurredAmount,PaidAmount,ClaimStatus
CLM000001,POL000370,2024-10-06,2024-12-31,Midwest,Warehouse,Large,3.88,367169.13,238547.83,Open - Developing
CLM000002,POL000304,2023-10-16,2024-05-06,Midwest,Hospitality,Large,3.73,41805.99,36206.21,Open - Developed
CLM000003,POL000672,2024-12-21,2024-12-31,West,Manufacturing,Large,4.08,138997.02,95629.92,Open - Developing
CLM000004,POL000205,2024-09-16,2024-11-18,Northwest,Manufacturing,Medium,5.4,60656.78,56188.09,Open - Developed
CLM000005,POL000981,2024-11-29,2024-12-31,Southeast,Retail,Small,5.44,8365.1,8050.94,Closed
CLM000006,POL000113,2023-11-22,2024-04-03,West,Healthcare,Small,4.72,11739.28,11258.01,Closed
CLM000007,POL000680,2023-06-28,2023-12-21,Midwest,Retail,Large,4.85,59023.63,44235.64,Open - Developing
CLM000008,POL000865,2022-12-20,2024-06-05,Northwest,Healthcare,Large,4.07,90339.42,60569.11,Open - Developing
CLM000009,POL000253,2024-07-04,2024-07-30,Northwest,Retail,Small,5.97,20391.4,12496.75,Open - Developing
CLM000010,POL000441,2024-12-28,2024-12-31,Midwest,Retail,Medium,3.69,27408.17,24809.32,Open - Developed
CLM000011,POL000186,2022-07-26,2023-11-14,Southwest,Education,Medium,4.67,46157.31,44824.47,Closed
CLM000012,POL000859,2023-06-09,2023-11-06,Midwest,Retail,Small,4.89,11361.54,6880.91,Open - Developing
CLM000013,POL000227,2024-07-28,2024-09-21,Midwest,Hospitality,Small,4.97,5987.02,4215.37,Open - Developing
CLM000014,POL000528,2024-10-05,2024-12-31,Midwest,Hospitality,Small,5.16,6805.43,4160.89,Open - Developing
CLM000015,POL000668,2022-12-29,2024-08-27,Northwest,Retail,Large,4.0,154370.64,134131.67,Open - Developed
CLM000016,POL000354,2024-10-11,2024-10-12,Northeast,Healthcare,Small,5.61,15032.76,14402.02,Closed
CLM000017,POL000623,2024-12-05,2024-12-30,Midwest,Retail,Medium,4.66,62107.81,44506.88,Open - Developing
CLM000018,POL000001,2024-06-08,2024-09-24,Northeast,Education,Medium,4.25,26879.37,17199.9,Open - Developing
CLM000019,POL000553,2023-10-23,2024-05-10,West,Hospitality,Large,4.32,102973.63,84773.42,Open - Developed
CLM000020,POL000560,2023-07-06,2023-12-15,Northeast,Warehouse,Medium,5.15,28254.65,23952.61,Open - Developed
CLM000021,POL000927,2024-10-31,2024-12-04,West,Warehouse,Small,4.42,7172.25,6864.54,Closed
CLM000022,POL000420,2022-09-23,2024-06-15,Midwest,Hospitality,Enterprise,4.49,617425.06,543221.55,Open - Developed
CLM000023,POL000620,2023-01-29,2023-06-17,Northeast,Office,Large,5.16,33853.57,26373.61,Open - Developed
CLM000024,POL000161,2024-08-31,2024-10-03,Northwest,Manufacturing,Medium,5.08,217410.45,209997.09,Closed
CLM000025,POL000161,2024-11-18,2024-12-31,Northwest,Manufacturing,Medium,5.08,25956.97,21892.47,Open - Developed
CLM000026,POL000871,2023-03-14,2023-12-31,Midwest,Hospitality,Small,5.07,10219.78,8804.67,Open - Developed
CLM000027,POL000128,2024-01-04,2024-03-27,Southeast,Office,Small,4.95,7859.27,7526.21,Closed
CLM000028,POL000722,2023-05-14,2024-03-01,Southeast,Healthcare,Small,5.03,25150.85,23212.94,Open - Developed
CLM000029,POL000151,2024-10-30,2024-11-04,Southeast,Office,Small,4.74,4041.33,3139.55,Open - Developed
CLM000030,POL000444,2022-05-11,2023-12-26,Southeast,Warehouse,Medium,6.29,31013.93,30747.15,Closed
CLM000031,POL000767,2023-11-07,2024-05-24,West,Technology,Large,5.01,626872.75,500751.88,Open - Developed
CLM000032,POL000471,2023-06-08,2024-02-16,Midwest,Education,Enterprise,5.8,1504379.17,1333586.33,Open - Developed
CLM000033,POL000463,2024-10-04,2024-10-23,Southwest,Technology,Small,4.86,4384.72,3018.93,Open - Developing
CLM000034,POL000730,2024-12-24,2024-12-31,Southeast,Warehouse,Small,5.37,14066.22,10532.75,Open - Developing
CLM000035,POL000030,2024-12-21,2024-12-31,Midwest,Retail,Large,5.4,126877.1,106024.53,Open - Developed
CLM000036,POL000473,2023-10-21,2024-04-06,Southwest,Hospitality,Small,6.83,23662.18,16741.29,Open - Developing
CLM000037,POL000557,2024-12-30,2024-12-31,Northeast,Office,Small,4.56,5935.59,4530.03,Open - Developed
CLM000038,POL000080,2024-08-01,2024-09-23,Midwest,Healthcare,Medium,5.43,240313.05,190568.78,Open - Developed
CLM000039,POL000039,2023-03-11,2023-10-21,Northeast,Office,Enterprise,4.96,1675570.1,1315315.97,Open - Developed
CLM000040,POL000240,2022-07-14,2024-04-15,Southeast,Office,Large,4.57,393444.32,346927.18,Open - Developed
CLM000041,POL000557,2024-12-29,2024-12-31,Northeast,Office,Small,4.56,12563.38,11292.01,Open - Developed
CLM000042,POL000590,2022-10-29,2024-06-07,Southwest,Hospitality,Small,5.67,3856.06,2329.87,Open - Developing
CLM000043,POL000337,2023-05-01,2023-12-03,Southeast,Healthcare,Small,4.54,15152.13,9183.48,Open - Developing
CLM000044,POL000908,2024-06-22,2024-08-16,Southwest,Hospitality,Medium,5.11,105090.62,98252.59,Open - Developed
CLM000045,POL000861,2023-05-31,2023-10-25,Midwest,Office,Small,4.15,2475.9,1592.07,Open - Developing
CLM000046,POL000800,2024-01-21,2024-03-01,Northwest,Manufacturing,Small,4.43,5609.87,3454.45,Open - Developing
CLM000047,POL000952,2023-06-12,2024-03-15,Northwest,Education,Small,5.84,13136.01,8224.19,Open - Developing
CLM000048,POL000280,2024-01-12,2024-04-10,Midwest,Healthcare,Small,4.91,14963.85,10702.02,Open - Developing
CLM000049,POL000116,2024-12-06,2024-12-31,West,Office,Large,5.39,133309.66,83780.07,Open - Developing
CLM000050,POL000269,2024-09-04,2024-12-31,Southwest,Education,Large,4.41,266793.31,251634.33,Open - Developed
CLM000051,POL000916,2022-07-30,2023-10-13,Northeast,Education,Small,5.59,7129.0,5076.46,Open - Developing
CLM000052,POL000335,2023-11-26,2024-06-04,Midwest,Healthcare,Medium,4.25,44939.38,36648.47,Open - Developed
CLM000053,POL000312,2024-10-07,2024-12-31,Southwest,Healthcare,Medium,3.92,38107.57,35575.95,Open - Developed
CLM000054,POL000053,2023-06-15,2024-02-29,Northwest,Office,Medium,4.75,32040.24,24498.78,Open - Developed
CLM000055,POL000068,2024-07-27,2024-11-23,Southeast,Office,Medium,4.79,32050.44,23647.61,Open - Developing
CLM000056,POL000694,2024-01-14,2024-01-21,Northeast,Warehouse,Small,4.69,3604.44,2822.47,Open - Developed
CLM000057,POL000034,2024-08-09,2024-12-01,Southeast,Manufacturing,Small,4.45,6305.18,4853.47,Open - Developed
CLM000058,POL000796,2024-01-12,2024-03-01,West,Manufacturing,Large,4.23,44513.09,38986.98,Open - Developed
CLM000059,POL000818,2022-11-24,2024-04-30,Northeast,Retail,Large,6.05,53456.44,40860.43,Open - Developed
CLM000060,POL000386,2024-02-07,2024-02-23,Southwest,Manufacturing,Large,4.34,32812.17,24621.73,Open - Developed
CLM000061,POL000249,2022-12-01,2024-03-03,Southeast,Education,Medium,5.33,96678.54,91833.08,Open - Developed
CLM000062,POL000111,2022-04-15,2024-01-11,Northwest,Technology,Medium,4.42,34083.39,22307.36,Open - Developing
CLM000063,POL000094,2024-12-29,2024-12-31,Southeast,Technology,Large,5.12,133155.9,129389.22,Closed
CLM000064,POL000410,2023-05-01,2023-11-21,Southeast,Office,Medium,5.18,52494.12,45505.9,Open - Developed
CLM000065,POL000179,2022-11-26,2024-05-13,Southeast,Manufacturing,Small,5.46,14056.9,9625.04,Open - Developing
CLM000066,POL000047,2024-05-28,2024-09-10,West,Healthcare,Medium,4.13,97405.11,75095.62,Open - Developed
CLM000067,POL000794,2023-11-02,2024-08-16,Midwest,Office,Small,5.29,15184.62,13534.67,Open - Developed
CLM000068,POL000852,2024-09-23,2024-10-30,Northeast,Hospitality,Enterprise,4.01,1600798.83,1396491.14,Open - Developed
CLM000069,POL000874,2024-12-09,2024-12-31,Midwest,Office,Medium,4.57,36242.03,24156.21,Open - Developing
CLM000070,POL000604,2022-10-22,2024-04-07,Northeast,Warehouse,Small,5.73,34367.74,24628.99,Open - Developing
CLM000071,POL000376,2024-06-19,2024-06-21,Southeast,Office,Large,5.41,238429.03,225836.58,Open - Developed
CLM000072,POL000724,2024-09-02,2024-09-30,Southeast,Hospitality,Large,4.54,111525.8,88015.31,Open - Developed
CLM000073,POL000587,2023-03-30,2024-01-21,West,Retail,Small,4.21,4256.03,3426.26,Open - Developed
CLM000074,POL000890,2024-12-29,2024-12-31,Northeast,Retail,Medium,5.44,24286.74,22931.65,Open - Developed
CLM000075,POL000202,2022-11-06,2024-08-13,Midwest,Hospitality,Medium,2.91,29251.48,26596.5,Open - Developed
CLM000076,POL000445,2023-07-19,2024-03-14,Southeast,Technology,Medium,5.05,100791.15,93994.47,Open - Developed
CLM000077,POL000919,2023-10-04,2024-06-14,Midwest,Hospitality,Small,4.76,2664.55,2105.55,Open - Developed
CLM000078,POL000933,2023-05-22,2024-02-12,Southeast,Manufacturing,Small,5.0,9213.03,6510.68,Open - Developing
CLM000079,POL000297,2024-08-03,2024-10-25,Southwest,Retail,Large,4.72,110927.87,103786.3,Open - Developed
CLM000080,POL000308,2024-09-28,2024-12-31,Southwest,Healthcare,Medium,4.19,39072.8,28483.22,Open - Developing
CLM000081,POL000723,2024-05-13,2024-09-06,Midwest,Healthcare,Medium,4.98,17180.35,16455.5,Closed
CLM000082,POL000493,2024-03-21,2024-06-03,West,Retail,Medium,4.77,62264.02,42664.81,Open - Developing
CLM000083,POL000338,2024-07-26,2024-11-02,West,Warehouse,Medium,4.52,39020.56,34548.14,Open - Developed
CLM000084,POL000945,2023-08-03,2024-02-08,Midwest,Warehouse,Small,4.42,1777.88,1129.62,Open - Developing
CLM000085,POL000923,2023-10-09,2024-05-16,Midwest,Healthcare,Small,4.63,2320.46,1811.2,Open - Developed
CLM000086,POL000646,2024-10-25,2024-12-31,Midwest,Warehouse,Large,5.24,88848.14,68673.71,Open - Developed
CLM000087,POL000842,2022-10-29,2024-04-05,West,Office,Large,5.39,163877.92,139213.79,Open - Developed
CLM000088,POL000066,2023-01-13,2023-10-08,Southeast,Office,Small,5.24,14555.9,10832.29,Open - Developing
CLM000089,POL000792,2024-09-15,2024-12-31,Southwest,Hospitality,Small,4.98,2260.4,2193.07,Closed
CLM000090,POL000422,2023-08-27,2024-06-02,Northwest,Warehouse,Large,4.56,58341.84,37528.35,Open - Developing
CLM000091,POL000540,2023-06-19,2023-10-22,Southwest,Warehouse,Medium,5.1,47139.86,30993.36,Open - Developing
CLM000092,POL000924,2024-06-27,2024-07-27,Midwest,Office,Small,5.27,4662.3,2810.85,Open - Developing
CLM000093,POL000629,2024-03-18,2024-03-29,Northeast,Retail,Enterprise,4.18,1391527.08,1270470.9,Open - Developed
CLM000094,POL000493,2023-08-24,2024-05-19,West,Retail,Medium,4.77,26397.87,18488.93,Open - Developing
CLM000095,POL000882,2024-07-09,2024-10-12,Northeast,Healthcare,Small,5.42,5470.87,4087.8,Open - Developing
CLM000096,POL000999,2022-11-22,2024-03-21,Southwest,Office,Medium,5.54,79237.24,70155.45,Open - Developed
CLM000097,POL000962,2024-12-20,2024-12-31,Southeast,Office,Enterprise,5.06,381702.06,274450.92,Open - Developing
CLM000098,POL000317,2023-06-15,2023-11-29,Midwest,Retail,Medium,4.97,139589.25,86743.25,Open - Developing
CLM000099,POL000942,2024-12-19,2024-12-31,Midwest,Retail,Large,4.95,43215.66,29792.77,Open - Developing
CLM000100,POL000837,2024-05-29,2024-06-30,West,Manufacturing,Large,5.36,1064998.92,720284.11,Open - Developing
CLM000101,POL000626,2024-03-21,2024-05-12,Northeast,Hospitality,Small,5.13,5659.35,3922.45,Open - Developing
CLM000102,POL000075,2022-09-05,2024-03-26,Southeast,Warehouse,Large,4.91,54079.43,38722.87,Open - Developing
CLM000103,POL000714,2024-11-12,2024-11-24,Northeast,Technology,Small,5.57,10472.01,6980.28,Open - Developing
CLM000104,POL000939,2024-08-14,2024-09-07,Southwest,Warehouse,Small,4.05,4269.46,2988.72,Open - Developing
CLM000105,POL000059,2022-09-28,2024-02-05,Northwest,Office,Small,5.31,15908.77,10350.53,Open - Developing
CLM000106,POL000386,2023-05-13,2023-10-20,Southwest,Manufacturing,Large,4.34,103328.39,67868.63,Open - Developing
CLM000107,POL000015,2024-10-11,2024-12-31,Northeast,Warehouse,Medium,4.41,24073.82,23374.93,Closed
CLM000108,POL000231,2023-04-28,2023-09-25,Southeast,Office,Medium,4.13,4515.88,3590.3,Open - Developed
CLM000109,POL000617,2022-12-06,2024-08-09,Midwest,Retail,Small,4.61,4509.02,4186.37,Open - Developed
CLM000110,POL000677,2023-02-04,2023-10-12,Southwest,Office,Small,5.74,11229.1,9534.07,Open - Developed
CLM000111,POL000199,2022-12-25,2024-03-28,Southwest,Healthcare,Enterprise,5.08,954235.97,908482.78,Closed
CLM000112,POL000916,2022-05-15,2023-12-02,Northeast,Education,Small,5.59,5029.09,4943.93,Closed
CLM000113,POL000354,2024-10-25,2024-12-01,Northeast,Healthcare,Small,5.61,2131.43,1567.27,Open - Developing
CLM000114,POL000035,2023-04-25,2024-01-18,Midwest,Warehouse,Medium,4.26,20642.45,15399.47,Open - Developing
